model,num_runs,test_macro_precision_mean,test_macro_recall_mean,test_macro_f1_mean,test_accuracy_mean,runtime_sec_mean,test_macro_precision_std,test_macro_recall_std,test_macro_f1_std,test_accuracy_std,runtime_sec_std
bert,5,0.691192,0.722582,0.703343,0.804667,512.817956,0.028634,0.020416,0.025563,0.021766,50.489074
random_forest,5,0.364090,0.291162,0.278364,0.657333,1.572559,0.017364,0.004490,0.007257,0.002494,0.035495
scibert,5,0.758061,0.756783,0.754626,0.846667,382.068575,0.019060,0.018523,0.018275,0.012996,54.252458
scincl,5,0.747940,0.734898,0.737591,0.841333,436.503264,0.038284,0.015930,0.025540,0.019276,50.485139
scincl_att_focal_gamma1p3,5,0.665012,0.701544,0.667269,0.772667,359.052143,0.027099,0.037017,0.036406,0.028937,55.898372
specter,5,0.723863,0.709194,0.714306,0.825333,377.424150,0.027917,0.021430,0.023514,0.019160,74.488829
specter2_base,5,0.755821,0.765653,0.753336,0.834667,422.187777,0.034654,0.025973,0.029951,0.026965,103.178848
specter2_base_att_focal_gamma1p3,5,0.754555,0.769248,0.757659,0.842000,382.126304,0.018312,0.035351,0.022549,0.013760,71.624847
specter_att_focal_gamma1p3,5,0.711051,0.732673,0.716906,0.816000,450.352070,0.035779,0.022861,0.031047,0.026365,93.549878
svm,5,0.483239,0.433938,0.450118,0.663333,0.636856,0.000000,0.000000,0.000000,0.000000,0.012656
xgboost,5,0.436311,0.349374,0.352745,0.685333,36.002241,0.038433,0.005232,0.010531,0.002667,0.118148
